Reviews for Fastrack,Age,Gender,Location,        Occupation,Month,Year,Quarter
Value for money ..thank you Fastrack,25-34,M," East Godavari, Andhra Pradesh",Working Professional,February,2020,Q1
Nice quality,25-34,M," Agra, Uttar Pradesh",Working Professional,March,2023,Q1
Good product,25-34,M," Kolkata, West Bengal",Freelancer,April,2023,Q2
"Thank you Flipkart ❣️
Best Smartwatch for use any other person 💫
@sagarmind",35-44,M," Purnia, Bihar ",Working Professional,September,2022,Q3
Nice product,35-44,M," Jamshedpur, Jharkhand",Working Professional,July,2024,Q3
Such a very beautiful watch I love it thankyou Flipkart for this amazing watch and your express delivery highly recommended please go and buy this amazing watch⌚😉☺️,35-44,F," Chittoor, Andhra Pradesh",Homemaker,November,2024,Q4
Value for money It's very good product,55 and above,M," Bharthana, Uttar Pradesh",Retired,March,2021,Q1
Watch is so nice,Under 18,F," Belagavi, Karnataka",Student,December,2022,Q4
Nice product 👌,45-54,F," Bengaluru, Karnataka",Homemaker,August,2020,Q3
Very nice 👍👍👍👍,55 and above,M," Seoni Malwa, Madhya Pradesh",Retired,July,2021,Q3
"Did not expect such good features are extremely low price and the quality of the watch is very good.
The design of the watch is very sleek and features like call, answer and calculator and hands on our very, very useful",Under 18,M," Ajmer, Rajasthan ",Student,October,2024,Q4
"Battery is good
Display quality is average
Overall looks good in your hand
Sometimes activity tracking is not proper
If you are looking for budget friendly smartwatch you can go for it.",35-44,M," Bengaluru, Karnataka",Working Professional,July,2020,Q3
Nice 👍 but messaging option ledhu...,45-54,M," Tuni, Andhra Pradesh",Freelancer,November,2023,Q4
I have ordered it for my sister the product is nice by design and packaging after a month I will give a full review of watch,Under 18,F," Jaipur, Rajasthan",Student,May,2023,Q2
"Nice product 😺 but need one function add this watch wifi/internet 🛜🥳
Awesome product",45-54,M," Purnia, Bihar",Working Professional,July,2020,Q3
Value for money product.,35-44,M," Bhubaneswar, Odisha",Freelancer,May,2023,Q2
"Value for money
Good job Fast-track 👏",Under 18,M," Lucknow, Uttar Pradesh",Student,November,2023,Q4
Value for money,45-54,M," Araria, Bihar",Freelancer,September,2020,Q3
"It's a very good watch, I like it very much",18-24,M," Gurgaon, Haryana",Working Professional,August,2022,Q3
Very nice,25-34,M," Bikaner, Rajasthan",Working Professional,December,2021,Q4
"I Am Review Using After 10 Days
Battery 10 to 7
Display 10 to 9
Design 10 to 8
Sound - 10 to 6
No Message Reply
Battery Drain Fast
Charging Very Slow",35-44,M," Jajapur, Odisha",Freelancer,June,2021,Q2
Iam Using After 20 Days Battery Is Good 5 Days Battery Backup ❤️ Display And activity Has Avg Overall Iam Satisfied ❤️🙏,45-54,M," Alappuzha, Kerala ",Working Professional,February,2024,Q1
"Amazing watch,all features are very nice .Display is small but ok.",55 and above,M," Samastipur, Bihar",Retired,November,2020,Q4
Very nice 💯,Under 18,M," Gaya, Bihar",Student,July,2024,Q3
"Awesome product compare to other smart watches .
FastTrack made a good quality and Best Tracking activity features.",18-24,M," Bengaluru, Karnataka",Working Professional,June,2024,Q2
Stunning design and just wow 🥰😍,18-24,F," Jalgaon, Maharashtra",Working Professional,December,2020,Q4
Good 💯,35-44,F," Cuddalore, Tamil Nadu",Homemaker,January,2024,Q1
Good Quality h,55 and above,M," Jaipur, Rajasthan",Retired,August,2021,Q3
Value for money,35-44,M," Patna, Bihar",Working Professional,July,2021,Q3
"Performance - 4/5
Battery -5/5
Special features -5/5
Woman health -4/5
This watch is one of the best.
Thanks for Flipkart to fastest delivery 🤩🤩🤩🤩🤩",18-24,M," Lucknow, Uttar Pradesh",Freelancer,February,2024,Q1
Charging is the only problem. Not charged properly... Don't go for it...,18-24,F," Dharmapuri, Tamil Nadu",Working Professional,November,2020,Q4
I really like this product... It's very easy to use...,25-34,F," Kolkata, West Bengal",Homemaker,April,2021,Q2
Good,35-44,M," Karur, Tamil Nadu ",Freelancer,June,2022,Q2
Value for money,Under 18,M," Buxar, Bihar ",Student,February,2021,Q1
Very good,18-24,M," Maurawan, Uttar Pradesh",Freelancer,December,2024,Q4
Nice product 😃,25-34,M," Vellore, Tamil Nadu",Working Professional,May,2020,Q2
Nice Product,25-34,F," Durgapur, West Bengal",Homemaker,November,2023,Q4
Good product,45-54,F," Kolkata, West Bengal",Homemaker,September,2024,Q3
Value for money nice watch ..😍,25-34,M," Hyderabad, Telangana",Freelancer,April,2021,Q2
Perfect,55 and above,F," New Delhi, Delhi",Homemaker,May,2024,Q2
Waooooo,Under 18,F," Shivamogga, Karnataka",Student,July,2023,Q3
Best product,55 and above,F," Berhampur, Odisha",Homemaker,December,2022,Q4
The best watch l ever got its worth the each and every rupees it's is very accurate in calculating every thing,35-44,M," Chirakkal, Kerala",Freelancer,January,2022,Q1
Good product,35-44,F," Siwan, Bihar ",Homemaker,May,2022,Q2
Good,35-44,M," Warangal, Telangana",Working Professional,November,2021,Q4
Nice product,25-34,M," Cuttack, Odisha ",Working Professional,February,2021,Q1
Good,25-34,M," Sembianallur, Tamil Nadu",Freelancer,November,2021,Q4
Good pr,18-24,M," Lucknow, Uttar Pradesh",Freelancer,July,2020,Q3
Very good p,45-54,F," Babarpur Ajitmal, Uttar Pradesh",Homemaker,June,2023,Q2
Nice produced 😊😊,18-24,F," Patan, Gujarat",Working Professional,October,2020,Q4
Very nice worth product,45-54,F," Udumalaipettai, Tamil Nadu",Homemaker,January,2024,Q1
Nice product..,18-24,F," Chennai, Tamil Nadu",Working Professional,September,2024,Q3
According to price.....it is perfect smartwatch.....everything is good,55 and above,F," Jamshedpur, Jharkhand",Homemaker,June,2021,Q2
Awesome product 😁 I am satisfied this watch,25-34,M," Begusarai, Bihar ",Working Professional,October,2020,Q4
The watch is simply awesome with this price range.,Under 18,M," Baleshwar, Gujarat ",Student,September,2023,Q3
Beautiful 🤩 watch ⌚ 🥰,Under 18,F," Kadi, Gujarat",Student,October,2023,Q4
It's very very good 👌👌,Under 18,F," Bengaluru, Karnataka",Student,June,2023,Q2
Thank you so Much Flipkart🥰 😘,25-34,F," Tanda Ambedkar Nagar District, Uttar Pradesh",Freelancer,October,2021,Q4
Good,25-34,M," Ongallur, Kerala ",Freelancer,October,2021,Q4
One of the best product from world of Titan...❤️❤️❤️,Under 18,M," Kahalgaon, Bihar",Homemaker,March,2020,Q1
Fastrack never disappoint us..Love if ❤️💓,55 and above,F," Jajpur Road, Odisha",Homemaker,February,2024,Q1
Nice,25-34,M," North Guwahati, Assam",Freelancer,September,2021,Q3
Nice one I got😍,45-54,F," Birbhum District, West Bengal",Homemaker,March,2023,Q1
Best watch,18-24,F," Bhubaneswar, Odisha",Working Professional,November,2022,Q4
Lovely Watch',55 and above,M," Vasai Virar, Maharashtra",Retired,December,2021,Q4
Best watch under 1500 you can,18-24,F," Hyderabad, Telangana",Working Professional,May,2022,Q2
Very good product Fastrack watch,45-54,M," Nelamangala, Karnataka",Freelancer,March,2024,Q1
Nice product,25-34,M," Jaipur, Rajasthan",Freelancer,September,2024,Q3
nyc.i like it.,18-24,F," Hoshiarpur, Punjab ",Working Professional,November,2024,Q4
