                    Reviews for Samsung Galaxy Watch ,Age,Gender,Location,        Occupation,Month,Year,Quarter
It's much better than watch ultra 2. Value for money,25-34,M," Tirunelveli, Tamil Nadu",Working Professional,October,2021,Q4
"Value for money ? No.
Quality: built quality is very good except the strap. The strap looks like someone painted. After a few activities in water the orange color starts fades and a black color starts appearing.

Features: have a tons of featurs but ecg and blood pleasure no use as its still not available in india.

Battery : better than previous versions. 2 days backup.

Connection: improved and clear quality.

watch may look heavy on wrist if you have a small wrist.",35-44,M," Bengaluru, Karnataka",Working Professional,April,2020,Q2
Just one word.......awesome. go for it,18-24,M," Navi Mumbai, Maharashtra",Student,April,2020,Q2
"Android Users other than that of Samsung, you may note, BP and ECG do not work with your phone. But:

a. Rest features work

b. Airtel E-Sim Postpaid plan works. I will tell you how.

c. Do not expect much from the battery. Consider you need to charge at night/in the early morning at least once.

Regarding the activation of E-SIM of Airtel in Samsung Galaxy Watch Ultra- simple trick- E-SIM can only be activated via Samsung phone at first.

Directly connect with Samsung phone or Learn steps be...
READ MORE",55 and above,M,"New Delhi, Delhi",Retired,September,2020,Q3
Exalent watch,55 and above,F," Devanahalli, Karnataka",Retired,May,2020,Q2
"Watch luks amazing, strap is very comfortable, display is fabulous. Very useful for daily use with so many features. LTE feature enables calling, messaging without any sim. Only con is low battery backup when you enable all the features and slow charging, almost takes one and a half hour for full charge.",55 and above,M," Araria, Bihar",Retired,July,2024,Q3
Looks premium N classy. Almost accurate data n smooth n very clean UI,25-34,M," Tirupati,Andhra Pradesh",Freelancer,August,2020,Q3
It's a two day usage review Premium look and quality. Battery lasts for 7-8 hrs with activity tracker and call functions enabled. Charging takes around ~1 Hrs. BP and ECG are not supported in non-samsung mobile. Will update after a month on more details.,55 and above,M," Chennai, Tamil Nadu",Retired,March,2023,Q1
"I have upgraded from watch 4 and compared to that this is very fast, have very good display. Overall a very good smartwatch.",35-44,M," Pune, Maharashtra",Working Professional,September,2023,Q3
In terms of feature it has all the feature you name it this watch had it. Display and Design is also okay but the worst thing is battery not even working for 20 hours. I charge it early morning for office and it is getting drained till the time I am coming back to home. Worst battery backup watch I used till now and I used multiple watches.,35-44,M," New Delhi, Delhi",Working Professional,September,2022,Q3
Battery is disappointing as it discharge within 20 hours. It is very painful to charge it daily basis.,25-34,M," Indore, Madhya Pradesh",Freelancer,October,2022,Q4
"Review after 3 weeks:
1. Poor battery life (14 hrs maximum)
2. Counts 10 - 20 steps unnecessarily when you shake hands, scratch or even while drinking a cup of coffee!
3. No Qi charging or reverse charging from phone
4. LTE calls consume around 3% battery every 1 minute
5. The underside is plastic and gets scratched easily
6. No option to turn off touch while AoD is active. Always something opens up or call foes out randomly if you cross your arms often
7. The 4 small stitching design on the ...
READ MORE",35-44,M," Kozhikode, Kerala",Freelancer,September,2021,Q3
Excellent watch by Samsung. Pairs perfectly with my Galaxy S24 Ultra phone. I upgraded from watch 4 to watch 7 and the experience is really good on this watch.,55 and above,M," Bengaluru, Karnataka",Retired,December,2024,Q4
Battery very fast decrease,45-54,M," Siddipet, Telangana",Working Professional,January,2021,Q1
"I love Samsung watch barring it's battery life, which is hardly 02 day with activities. Samsung when will you improve battery life. Nobody likes charging on daily basis.
Otherwise it's a complete watch from all sides. Features are amazing and tracking is generally accurate ❤️❤️❤️❤️❤️❤️❤️",18-24,F," Fatehgarh, Uttar Pradesh",Working Professional,August,2021,Q3
"Recently upgraded form watch 4 to watch 7
It's a huge upgrade
Better battery Better performance
And bought the green one it's a perfect match with my Galaxy S23 Ultra",Under 18,M," Duliajan, Assam",Student,November,2023,Q4
"The product is of high quality and performs exceptionally well. Samsung is a reputable brand known for its reliable products. If you are considering purchasing this product, I highly recommend it as a worthwhile investment.",Under 18,M," Bengaluru, Karnataka",Student,March,2024,Q1
Trademark Galaxy from Samsung. Just liked it.,45-54,M," Krishnanagar, Andhra Pradesh",Working Professional,February,2022,Q1
Gr8 Product,55 and above,M," Indore, Madhya Pradesh",Retired,May,2021,Q2
