Reviews for FitBit,Age,Gender,Location,        Occupation,Month,Year,Quarter
"I wasn't a great fan of activity monitors but the one thing that interested me to go for fitbit versa is i can load lots of songs and can go for my daily jogging with out needing to carry my phone. I connect my wireless ear buds with out any hassle. I'm not a fitness freak but once I got used to the activity monitor the data is helping me to be more active in the day. the fun part for me is to try hundreds of different free watch faces that suit to your taste. does everything that's mentione...
READ MORE",25-34,F," Hyderabad, Telangana",Homemaker,May,2022,Q2
"My wife wanted a smart watch which could guess the hours of deep sleep and also count her exercise minutes, she does different HIIT forms. I was a bit skeptical before buying it but she ABSOLUTELY loved it. This was an anniversary gift and i still hear of it.",55 and above,M," Udupi, Karnataka",Retired,July,2023,Q3
"Overall the look and the features are good, however I would like to highlight a few issues that I am facing.

The notifications do not appear, calls sometimes appear sometimes they don't, on the other hand inspite of linking the notifications for the msgs, the same is not working.

Battery backup is decent enough to sustain for three full days.
The maps don't work properly, there is a lot of dependency on a good internet connection, but to what I understand the watch is connected with Blueto...
READ MORE",35-44,F," Kolkata, West Bengal",Homemaker,February,2021,Q1
Every day I am falling in love with this versa... only concern is battery it doesn’t lasts more than 3 days.,25-34,F," Kanakapura, Karnataka",Homemaker,July,2024,Q3
wonderful product,55 and above,M," Mahindra World City, Tamil Nadu",Student,November,2021,Q4
"Looks sleek, very comfortable to wear and yet to test it out for accuracy during walking or cycling my two main exercises but I feel it's a purchase which will be very satisfactory.

After using the watch for a while I can assure you its a brilliant product and has very good accuracy when it comes to covering step counts, calories burnt as well as heart rate. Sleep tracking is very good too and the fitbit app is excellent.",45-54,M," Jalpaiguri, West Bengal",Working Professional,November,2021,Q4
"fitbit versa is looking absolutely great !!! No doubt at all.All features are good but payments were not supported for Indian version, hoping to get payment option soon. Best product at its cost range.",18-24,F," Hyderabad, Telangana",Working Professional,June,2021,Q2
Excellent product. Worth buying it. I personally suggest not to go for higher version for beginners who are planning to buy a smart watch. Apart from other cheap brands and entry level smart watches Fitbit Special Edition is best in looks and performance as well.,55 and above,M," Kochi, Kerala",Retired,November,2020,Q4
"Used it for 4 days now its time to tell the pros n cons.Step counter is absolute fail. I had to ride 23km to work and it counted 2300 steps along with stats of climbing 29 floors which was hilarous. heart sensor works good. vibration is adeqaute to notify calls ans other notifications. dial size is too small those who are big guns consider trying it out on retail shops before buying it.. Wallet app doesnt seems to be availabe in India so NFC payment feature you can forget it. The app sto...
READ MORE",25-34,M," Malayinkeezhu, Kerala",Freelancer,March,2020,Q1
"Great product for the amount paid. Got it for 7999. Its amazing and works very well. It can even measure oxygen level.
Thank you for such an amazing product.",25-34,M," Bengaluru, Karnataka",Working Professional,October,2024,Q4
Worth the price... does all it claims to do...and does it well,18-24,F," Jharia Khas, Jharkhand",Working Professional,February,2021,Q1
watch is really good....i found very useful to track my activity....quality and built great for this price point...suggest to buy the watch below 15k whenever there is any offer....because then the value for money could be felt satisfactory,18-24,M," Vijayawada, Andhra Pradesh",Freelancer,March,2022,Q1
awesome.,18-24,M," Jodhpur, Rajasthan",Freelancer,July,2020,Q3
Wow great one i loved it totally,25-34,M," Hyderabad, Telangana",Freelancer,March,2022,Q1
Good to go watch . Quite light Weight,35-44,F," New Delhi, Delhi",Homemaker,June,2024,Q2
"It is indeed an amazing fitness watch considering the price and all the features offered with it. And the extra straps are really useful, I had to buy aftermarket straps for my blaze after 2 years of use, but with the versa SE you will get total 3pare of strap including the one allready installed. And decent delivery by flipkart.",45-54,M," New Delhi, Delhi",Working Professional,November,2024,Q4
"1. U can listen to music through your Bluetooth headset
2. Takes approximately 30min to setup on wifi 3. Connect same wifi with phone and watch
4. For music upload in watch u have to download app in your laptop and select transfer music option in watch and wait to connect .Then just simply drag and drop songs and sync with watch
5. U have to take ur mobile while running because it has connected gps
6. U cant connect ur Bluetooth headset and watch together in Vivo z1pro
7. U have to on ur m...
READ MORE",45-54,M," Kalyan, Maharashtra",Working Professional,February,2021,Q1
Loved it,35-44,F," Bengaluru, Karnataka",Homemaker,July,2022,Q3
"Overall a good product as it looks and feels good on my wrist.

Pros
1. Looks good and stylish
2. Has plenty of apps that can be downloaded using the mobile app
3. Vibration with notification is very strong

Cons
1. Syncing with the app takes a while sometimes
2. I was not able to transfer music to the built in music app even when the watch was connected to a wifi
3. Even riding a scooter counts as steps, which is ridiculous",35-44,M," Palakkad, Kerala ",Freelancer,November,2024,Q4
"The fitbit is good. A price around 6k would be better for this I think. although I do not think spo2 sensor is there in the device. The description is wrong.

Not a right practice to advertise something which is not there in the product. Should be changed or fix the product.",35-44,M," Bengaluru, Karnataka",Freelancer,August,2021,Q3
"Great value at this price point, though I was expecting little more battery power along with few basic features like spo2, stress meter etc which are missing.

The music section required a paid version of Spotify and again the watch won't itself play. Ut you would need to carry your phone along with watch with paid version of Spotify to just manage the control. I personally don't find this useful because if I have to carry the phone than I can mange the control from my phone of bluetooth ear...
READ MORE",35-44,M," Greater Noida, Uttar Pradesh",Working Professional,August,2023,Q3
Great watch to wear 👌,25-34,M," Gurugram, Haryana",Working Professional,June,2023,Q2
"Got it for 10,999 rs. Major problem with this is ""notification"" it never showed notification on my oneplus 6 phone. Highly disappointed!! rest everything is fine",18-24,M," Bengaluru, Karnataka",Working Professional,July,2021,Q3
Nice product nice batter life colour quality is very poor but Look's primium....,45-54,M," Waluj Midc, Maharashtra",Working Professional,July,2021,Q3
"Yes, it is the best fitness tracker watch. Data is accurate. Yes GPS is missed, but you can carry your cell phone along while running or jogging. The tracker and App does get the job done.
Display as they say is amazing, no matter how sunny is the light outside, you can view your info.
People who want to track their fitness goal, I would suggest go for it.",45-54,M," Thane, Maharashtra",Freelancer,February,2020,Q1
Nice product,18-24,F," Siddapur, Karnataka",Working Professional,September,2024,Q3
I ordered the peach color watch and it looks great the watch is rose gold and strap is peach colored. looks great on wrist and has good features.. setting up and configuring was smooth. Till now no issues per se. Delivery was fast and without glitch. Product was also defect free.,18-24,F," Mumbai, Maharashtra",Working Professional,July,2020,Q3
good,25-34,M," Ambarnath, Maharashtra",Working Professional,October,2024,Q4
steps are not accurate ..may be you have to half fold the count,55 and above,M," Hyderabad, Telangana",Retired,March,2024,Q1
it's good.,55 and above,M," Secunderabad, Telangana",Retired,December,2024,Q4
"Device looks and feels good. It functions well.

But...

Does not pair well with MI A3 device. Please make sure that you check their website for the list of phones that it can sync up well.",25-34,M," Bengaluru, Karnataka",Freelancer,May,2024,Q2
Really liked this watch ☺️,35-44,M," Noida, Uttar Pradesh",Freelancer,February,2020,Q1
"Amazing product with one major flaw, it does not play stored songs properly through bluetooth speakers or earphones. The music either plays too fast or too slow. The only difference between versa and versa lite is versas song storage facility which in a way is waste as it does not play properly. save money go for versa lite.",55 and above,M," Mumbai, Maharashtra",Retired,September,2022,Q3
"i am using this watch more than one month watch is good really helpful for those who are health consious . watch is looking perfect , heart rate sensor is also fine , tracking is also gud but one thing i feel about this is its screen .it is so small we are habitual of Lar, Uttar Pradeshge screen and this watch has little screen u think fitbit should work on this ..and it straps and screen gurads also so expensive",Under 18,M," Kotkapura, Punjab",Student,December,2020,Q4
"I would have liked to give a 3.5 stars but there's no option here!
okay so now the watch:-
The watch is grt in terms of fitness related features like tracking and stuff!!
my main use of the watch was to use it like an smartwatch. it works like half smartwatch at the most that i can say! Though it has great features the main problem that i faced was while connecting it to my phone (honor play) it frequently drops the Bluetooth connection every now and then!",55 and above,M," Ahmedabad, Gujarat",Retired,October,2022,Q4
Happy to buy it in billion sale,Under 18,M," Aligarh, Uttar Pradesh",Student,October,2022,Q4
nice smartwatch..,Under 18,M," Narwana, Haryana",Student,December,2022,Q4
Good Product,55 and above,F," Mumbai, Maharashtra",Homemaker,June,2024,Q2
"Awesome Smart Watch At This Budgets
4 Day's Battery Backup
Thankyou Filpkart..!",Under 18,M," Bhubaneswar, Odisha",Student,May,2021,Q2
"The Versa 1st Generation is still a great bet for those wanting in on the Fitbit ecosystem. It's a no - gimmicks, no - frills smartwatch that does the job well. I got it at a great price during the Flipkart sale.",45-54,M,"  Pune, Maharashtra",Freelancer,August,2022,Q3
Good product without any questions. Free apps are available up to date.,18-24,M," Siliguri, West Bengal",Working Professional,August,2021,Q3
"The watch doesn't show the notification of call or message, it always says pair the phone even after pairing the same, raised this issue to Fitbit multiple times, but no response yet.",25-34,M," Bengaluru, Karnataka",Working Professional,March,2021,Q1
"Amazing product but prize is very high.
Coming to performance is above average
Overall product is good ☺️",45-54,F," Madhira, Telangana",Homemaker,May,2021,Q2
Writing this review after using the product for 9 months . The watch used to work almost satisfactorily for most of the period but there was some noticeable glitch in tracking the heart rate on many occasions . After 09 months it's recording of heart rate became completely erratic . It is abnormally high even during sleep . This error has made the watch completely useless as all the vital stats and features are dependent on accurate tracking of heart rate only .,25-34,M," Mau District, Uttar Pradesh",Working Professional,March,2020,Q1
not worth for money... couldn't able to get music /songs as specified.. no synch established for whattups.. calendar after all attempts post spending good time.. not worth to buy...,25-34,F," Mumbai, Maharashtra",Homemaker,April,2023,Q2
first check your mobile compatibility before purchasing one..Redmi not 5 Pro not compatible,Under 18,M," Vasai Virar, Maharashtra",Retired,October,2023,Q4
very beautiful smart watch.. and works perfectly..... this is my third Fitbit in family and from last 5 years we have been a part of Fitbit family..... no complain....I don't see the point of wasting so much money on apple watch when the same work is done and beside you won't need a apple cellphone to sync it is compatible with any operating system...... value for money..... only first syncing one feel takes 5 min rest it just glided,35-44,F,"  Pune, Maharashtra",Homemaker,January,2020,Q1
"This is a very good watch I am giving this review after using it for one week, it looks nice display is good data I felt the data is pretty accurate. I got it during the sale and the price which I got it was worth Taking it, however I was not sure that this watch is not compatible with all the devices. Before buying this watch I would recommend that you go to the website of fit bit and find the list of compatible device for Versa and then only buy it. No wonder thatYou may have to buy a phone...READ MORE",25-34,F," Bengaluru, Karnataka",Homemaker,February,2024,Q1
