Reviews for Amazfit,Age,Gender,Location,        Occupation,Month,Year,Quarter
"It's not a watch but a sophisticated / premium band (you can call it to watch if you like to use that term owing to a watch like dial). GPS Tracking is very nice. Big Screen, polycarbonate body, gorilla glass on spot. If you want to use it as a watch buy color, otherwise, it's going to look really funny. The UI is very nice better than the Redmi watch, although I would recommend going for the Redmi watch if your budget is a few bucks less. People are confused while purchasing a smart watch. H...
READ MORE",18-24,M," Indore, Madhya Pradesh",Working Professional,May,2021,Q2
"Just awesome
Display is very nice
No lagging
Accurate measure",55 and above,M," Panihati, West Bengal",Retired,August,2021,Q3
"Superb watch this watch is amazing
Realme and all brand fail in front of this watch",18-24,M," East Delhi, Delhi",Working Professional,August,2021,Q3
"Bestest smartwatch ⌚ ever 😍
I really liked it.. Superb Amazing Amaz 🔥🤩
Go for it guys!",25-34,M," Bara Banki, Jharkhand",Freelancer,April,2020,Q2
I love this watch ❤️❤️I buy for my sister she is very happy 💓💓,25-34,F," Ullal, Karnataka",Homemaker,July,2022,Q3
"Review after 4 weeks of usage:
Design is good. But not very impressed with belt material.
Display has sufficient brightness even in direct sunlight.
Activities tracker is good but gps takes few seconds to start when you start any workout.
Heart rate and Sp02 have considerable accuracy ( obviously not as accurate as dedicated devices)
Sedentary reminder reminds you timely to exercise.
Sleep tracker also measures very well.
You will get call/message and other notifications without any delay.
B...
READ MORE",55 and above,M," Chhindwara, Madhya Pradesh",Retired,October,2020,Q4
Good quality tquu. Flipkart😍,25-34,F," Chanderi, Madhya Pradesh",Homemaker,November,2023,Q4
Worth every Penny at this price point.Does the job very well. Especially while using GPS.Zepp app UI is average could be better.,25-34,M," Indore, Madhya Pradesh",Working Professional,April,2022,Q2
"Good product in this range, activity algorithm is so nice and Zepp app makes it more lovable as sync with Strava. Only one issue is battery, it doesn't last 10 days, i have charge in in 5 6 days, may be because of my high activity usage. Overall product is good to recommend.",Under 18,M," Jodhpur, Rajasthan",Student,April,2021,Q2
"Nice product,but i feel the price is bit high.",35-44,F," Kanpur, Uttar Pradesh",Homemaker,November,2024,Q4
Best Watch,18-24,M," Allahabad, Uttar Pradesh ",Working Professional,February,2022,Q1
"Display is good. But screen to display ratio can be improved in same screen size.
Calling with in built speaker & mic should have been included.
Above 2 points would have given 5th Star.
Activity tracking is good but GPS is not that accurate but no problem with little difference. It works for me.
Till now my outdoor cycling activities comparing to Strava shows almost same results but Amazfit provides more detailed information.",25-34,M," Mumbai, Maharashtra",Working Professional,January,2024,Q1
Battery back up is an issue.. Also no football in sports mode.. Even when u have 60+ modes. Ridiculous,35-44,M," Hyderabad, Telangana",Freelancer,February,2024,Q1
Size is very small .. ..if the size of this watch is bigger then this watch will the best watch ever ....,Under 18,F," Dhar, Madhya Pradesh",Student,July,2021,Q3
"Its fitness tracking and support has a lot of features, and if you're really serious about it, you'll find it quite good. At Rs 4,999, the Amazfit Bip U Pro is certainly one of the best smartwatches that you can buy.",35-44,M," Bharuch, Gujarat",Working Professional,September,2021,Q3
"I am.using this watch since a month. Would like to recommend This watch only for those who are fitness enthusiasts. Please dont buy this watch if your are not fitness enthusiasts. This watch is not for those who are looking for a watch as fashion gadget.

Pros
Amazing display
Accuracy about steps
Inbuilt gps

Cons
Battery life.",35-44,F,"  Pune, Maharashtra",Homemaker,July,2021,Q3
best smart watch,35-44,M," Tirunelveli, Tamil Nadu ",Retired,March,2022,Q1
"Classic looks, premium feel, Best Features, Accurate Data",55 and above,M," Patna, Bihar",Retired,February,2020,Q1
Best watch in this price range,45-54,F," New Delhi, Delhi",Homemaker,June,2024,Q2
"Step tracking is correct.
Strap,Watch material is also good.
Screen is little bit smaller than GTS 2Mini.
SPO2,Stress monitoring are the best functions.
Lots of watch faces available in store so that is also another advantage. Zepp application is also best for user.",55 and above,M," Bhiwandi, Maharashtra",Retired,February,2023,Q1
"Gifted to my best frnd on her bday
It's absolutely worth the price
In this smart watch segment there are brands wic conflict with their own products in the same price range
But if u want smthing classy , regular update, premium feeling this is the watch to go for
Don't know about other features becoz I haven't yet asked
But the watch is solif",35-44,M," Bengaluru, Karnataka",Working Professional,March,2023,Q1
