Reviews for OnePlus Watch,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Good but with flaws
I have been a samsung watch 4 user and wanted to upgrade. I thot I will get OnePlus watch 2 because I already have a OnePlus 12 phone. I have been using it for last one month and I would say my experience is just average
Pros
Good battery life. With Bluetooth on all the time, the watch manages to go past 2 days which is great. Charging is also super fast using OnePlus phone charger
Great display

Cons
Now where do I start. After using samsung watch, I felt greatly disa...
READ MORE",25-34,M," Chennai, Tamil Nadu",Working Professional,April,2021,Q2
Loved it.,18-24,F," Bengaluru, Karnataka",Working Professional,February,2022,Q1
"My first smart watch
Watch was awesome and super fast delivery",45-54,M," Gonikoppal, Karnataka",Working Professional,September,2022,Q3
"Perfect😍
Best in Class",35-44,M," Nellikuppam, Tamil Nadu",Working Professional,December,2024,Q4
"In one word...

we can say,

unbelievable..!!",55 and above,M," New Delhi, Delhi",Retired,September,2021,Q3
"Loved the design and build. Looks so elegant .
Activity tracking is top notch.
Very smooth display and navigation.
Battery backup could have been better, generally lasting to 80 hours upon full charge.",45-54,M," Bengaluru, Karnataka",Working Professional,November,2024,Q4
"Hi There!

The day it was live for sale I bought it, been waiting for this OnePlus Watch 2.

Delivery was quick too. The unboxing experience was great, The watch itself looks super premium. The silicon strap is of high quality. The display is crisp. The watch has almost everything for daily use.

I would love to have the LTE version of this watch, but sadly not.

The battery life is approximately 3days in Smart mode.",45-54,M," Nagpur, Maharashtra",Working Professional,May,2023,Q2
"1.Watch looks so premium.
2.Battery backup also good compare to other brands in same segment.
3.It will detect all activities automatically.
4. This morning I went to outdoor jogging and it given accurate details.
4. In workouts its having Badminton also and yet to check how it will work.
5. Missing LTE feature.

And I will update my review post 1 week after checking all aspects.",45-54,M," Ysr District, Andhra Pradesh",Freelancer,December,2021,Q4
It's been 10 days. Overall satisfactory product.,25-34,F," Kolkata, West Bengal",Freelancer,September,2023,Q3
"Lack of ecg, battery life is hardly 3 days o. Smart mode,",18-24,M," Gurugram, Haryana",Working Professional,September,2023,Q3
Value for Money,25-34,M," Muzaffarpur, Bihar ",Freelancer,June,2023,Q2
Evening is very nice,55 and above,M," Murshidabad, West Bengal",Retired,December,2023,Q4
"All activities tracker are showing incorrect, early morning it's showing 500 steps , pathetic, Samsung is far better",55 and above,M," Indore, Madhya Pradesh",Retired,June,2023,Q2
"Watch faces and software optimization can be better, but the build, battery, and display are excellent.",Under 18,M," Bengaluru, Karnataka",Student,December,2020,Q4
Nice smartwatch with long lasting battery and excellent display. Looks good on hand.,18-24,M," New Delhi, Delhi",Freelancer,April,2020,Q2
I really like and love this watch . It's more the apple ultra watch.,18-24,M," Haldwani, Uttarakhand",Freelancer,August,2021,Q3
Value for money... battery back up is excellent. Met my expectation.,18-24,F," Tarakeswar, West Bengal",Working Professional,December,2020,Q4
"Lovely product, used for all activities including swimming",Under 18,M," Perinthalmanna, Kerala",Student,September,2022,Q3
Amazing product for One+,45-54,M," Gurugram, Haryana",Working Professional,August,2023,Q3
Fantastic smart watch,25-34,M," Bengaluru, Karnataka ",Freelancer,March,2022,Q1
Wonderful watch,25-34,M," Kolkata, West Bengal",Working Professional,January,2022,Q1
