Reviews for Mi SmartBand,Age,Gender,Location,        Occupation,Month,Year,Quarter
Good product at this price.,55 and above,M," Hugli Chinsurah, West Bengal",Retired,June,2021,Q2
"Best product and it is the original MI Smart Band 5 with Xiaomi branding. It is better than Honour Band 5, Galaxy Fit 2, Oneplus Band and of cource than of Mi Band 4. It has Status, Heart Rate Monitoring, Stress Monitoring, Breathing mode, 11 Specific Workout Modes including Outdoor Running, Walking, Eleptical, Rowing machine, Yoga, Pool swimming, Cycling (both indoor and outdoor) Jump Rope and Freestyle. It has a Lock Screen, Custom Timer, Stopwatch and lot more. It is the best Fitness Track...
READ MORE",25-34,M," Kottarakkara, Kerala",Working Professional,September,2022,Q3
Nice product,45-54,F," Ranbirsinghpora, Jammu and Kashmir",Homemaker,April,2023,Q2
"Really great product I love very much, plzz go for it",35-44,F," Gopeshwar, Uttarakhand",Homemaker,February,2022,Q1
Best ...Smooth ...,45-54,M," Lucknow, Uttar Pradesh",Working Professional,July,2020,Q3
The band belt was not so strong and broke,25-34,F," Guntur, Andhra Pradesh",Homemaker,September,2023,Q3
I am using it for last one week.... Very good experience... Fast connecting... Lot of band faces.. And battery lifespan is also good.... Customer service is also good at the time of delivery... Very fast delivery... I got this with in 4 days... Altogether worth of money ❤️,35-44,F," Kozhikode, Kerala ",Homemaker,June,2024,Q2
"Really best band battery backup is good, design is awesome and hand look is very super😍",18-24,F," Tiruvannamalai District, Tamil Nadu",Working Professional,September,2023,Q3
"I have gifted this to myself on my birthday, and I am very happy with the product....❤️❤️",35-44,F," Kolkata, West Bengal",Homemaker,January,2024,Q1
Nice not bad,55 and above,M,"  Pune, Maharashtra",Retired,April,2022,Q2
"Mi smart band fitting was not good,, watch capsule always discount from the band",55 and above,F," Ranchi, Jharkhand",Homemaker,November,2024,Q4
Best product at price,45-54,M," Lucknow, Uttar Pradesh",Freelancer,February,2021,Q1
Amazing loving product this is my dream to get it❤❤,35-44,M," Narwana, Haryana",Working Professional,August,2020,Q3
Good Product,18-24,F," Dewas, Madhya Pradesh",Working Professional,March,2024,Q1
Good,18-24,M," Hyderabad, Telangana",Retired,June,2024,Q2
Nice one,25-34,M," Kamrup, Assam ",Working Professional,January,2022,Q1
Good band,18-24,F," Mayurbhanj District, Odisha",Working Professional,June,2023,Q2
Nice,25-34,F," Tumakuru, Karnataka",Homemaker,August,2023,Q3
Good producto,35-44,F," Ganjam, Odisha ",Homemaker,August,2022,Q3
My band is looking good,18-24,M," Nedumbassery, Kerala",Freelancer,January,2023,Q1
Best Buy good tracker,25-34,F," Puri, Odisha",Homemaker,March,2021,Q1
This product is good.,45-54,M," Paradip, Odisha",Working Professional,September,2024,Q3
Good product,55 and above,F," Thrissur, Kerala",Homemaker,February,2024,Q1
Music and periods cycle not connected.. Otherwise nice product.,55 and above,F," Rampurhat, West Bengal",Homemaker,June,2024,Q2
Product is not ok,Under 18,F," Puri, Odisha",Student,August,2022,Q3
Nice,35-44,M," Rampurhat, West Bengal",Freelancer,March,2021,Q1
Battery backup 2 or days only 😓,25-34,M," Trivandrum, Kerala",Working Professional,July,2021,Q3
Nice,45-54,M," Davanagere, Karnataka",Working Professional,December,2021,Q4
