Reviews for Google Pixel Watch,Age,Gender,Location,        Occupation,Month,Year,Quarter
"I have been using Pixel Watch 2 from the last few weeks now. Below are the Pros and cons:
Pros:
1) Battery Backup is really good as compared to Apple Watch.
2) Display looks premium.
3) Lightweight.
4) Fits perfectly
5) Seamless Fitbit integration.
6) Great AOD.
7) Blazing fast charging.
8) Great Haptics.

Cons:
1) Sometimes incorrect calculation of steps count.
2) No side button safety. It could get damaged easily.
3) That's it 😜",25-34,M," Ghaziabad, Uttar Pradesh",Freelancer,September,2024,Q3
Yet another overpriced amazing looking unique product from google. Loved this watch (ignoring the price ofcourse 😂),45-54,F," Bengaluru, Karnataka",Working Professional,December,2024,Q4
The watch looks very stylish and the features are awesome.,Under 18,F," Miryalaguda, Telangana",Student,March,2020,Q1
Cool 😎 watch,45-54,M," Canacona, Goa",Freelancer,October,2022,Q4
"The amoled display and overall built are absolutely good, giving a premium vibe. All new sensors look accurate and you would need the Fitbit app premium to get most out of it. Its syncing perfectly with my Pixel 7",Under 18,M," Irinjalakuda, Kerala",Student,January,2021,Q1
By Far The Pixel Watch 2 is one of the best options for Android users this year. Android Ecosystem is finally now the Reality. Kudos to the Designers behind making this Beautiful Elegant Watch.,45-54,M," Thane, Maharashtra",Freelancer,January,2023,Q1
"The product is nice, although a bit expensive. But yeah, it carries all the required features. So a must buy.",18-24,M," Gurgaon, Haryana ",Working Professional,November,2024,Q4
Nice product. Price could be more competitive. Anyway it lasts a full day with always on display on.,45-54,M," Kalyani, West Bengal",Freelancer,February,2023,Q1
"Google Pixel watch 2 is a great part of the Google ecosystem. A true smartwatch with the goodness of Android. Great looks and feel and a brilliant in-hand experience. The first smartwatch with ECG feature that is reliable and 100% works with heart rate and sleep detection and other activities and workouts. The readings are by far accurate compared to all other xheap bands available.

A product worthy of the price and your hand to wear a fancy watch",18-24,M," Mumbai, Maharashtra",Working Professional,April,2021,Q2
"Its a small size compact smart/fitness watch. According to my research, pixel watches were the best only next to apple watches. There are many players for the fitness game, but don't provide accurate tracking as promised. This watch has excellent tracking with the only trade-off being the battery life, which extends to 36 hrs with AOD off. Straps are very comfortable. The Fitbit app and features are good, but I guess hiding extra fitness data behind a paywall is a bummer.
Overall, I am havin...
READ MORE",18-24,M," Pimpri Chinchwad, Maharashtra",Working Professional,November,2022,Q4
Awesome product to buy but price is on higher side,18-24,M," Dehradun, Uttarakhand",Working Professional,May,2021,Q2
Battery life with LTE will add value to the price,25-34,F," Visakhapatnam, Andhra Pradesh",Homemaker,July,2022,Q3
Get the system updated..this increased the battery life from 1 day to 2 days..being a previous user of fit bit im used to 5days of battery pife.but the features make up for the battery life.,25-34,M," Hyderabad, Telangana",Working Professional,December,2024,Q4
"An Honest Review-

Design - 5/5
Build Quality- 5/5
Features- 5/5
Connectivity- 5/5
Fitness tracking- 3/5
Value for money - 4/5
Overall- 4/5

I ordered this watch for my mother. I myself use apple watch series 8 and previously was using apple watch series 6. Few points where I personally feel this watch lags is fitness tracking and this product is slightly priced on higher end.
One of the major reasons for ordering this watch for my mother was fitness and health tracking basis fitbit as part...
READ MORE",45-54,F," Panipat, Haryana",Working Professional,July,2020,Q3
"Manufacturing was one year old (october 2023). Large size band was missing from sealed package. Charging is slow and after 90% it feels like it is going to take forver to reach 100. I charged it to full at night and next morning it was at 66% while i turned off always on screen and wifi. I guess i have to observe few more days to access the exact how long it lasts after fully charging it. Watch needs to be connected to charger to update software, no matter the charge percentage. Its hard to p...READ MORE",35-44,M," Noida, Uttar Pradesh",Working Professional,March,2024,Q1
"The watch looks stunning, with a compact and lightweight design that fits comfortably on my wrist.Wear OS is seamless, and Google Assistant integration is impressive.Accurate fitness tracking, heart rate monitoring, and guided breathing sessions are valuable additions. Unfortunately, the battery Barely lasts a day and a half with moderate use, which is disappointing.If you're willing to charge it daily, this watch is a great choice.Design: 5/5Features: 5/5Battery Life: 2.5...READ MORE",25-34,M," Chennai, Tamil Nadu",Freelancer,June,2022,Q2
"Loved the compactness of the watch, haptic feedback is top notch. I bought it for activity tracking and this watch along with fitbit's algorithm gives detail insight into health and wellbeing. I use pixel phone 6a and this watch works seamlessly with it. The only con i can think about it is it's battery life which only lasts 1-1.5 day however, the charging is superfast it charges from 10-97% in 40 mins. I bought it at 18.5k and at this price this is one of the best device for Android users.",45-54,M," New Delhi, Delhi",Freelancer,February,2023,Q1
"Like they say, it's the best... Activity tracking is top notch.",Under 18,M," Lucknow, Uttar Pradesh",Student,January,2020,Q1
"One of the best Smartwatches in the market, love the pixel experience as I am using Google Pixel phone too",25-34,M," Gurugram, Haryana",Freelancer,February,2020,Q1
"Awesome watch. Switched from Samsung Watch 4 to this. Much better than Samsung Watch 4. Better sensors, better display. Overall a complete package. Now I own a Pixel 7 Pro, Pixel 7a, Pixel 6a, Pixel Buds Pro and this watch.",25-34,M," Balrampur, Uttar Pradesh",Freelancer,November,2022,Q4
Good Product but bit costly,45-54,F," Hyderabad, Telangana",Homemaker,March,2020,Q1
"This is one of best smartwatch for non-Apple users.
Hardware is great. Software is great.
And when comes to fitness and tracking feature - Fitbit is best.

Love it.",55 and above,M," Asansol, West Bengal",Retired,September,2020,Q3
"Loved the Google Pixel Watch 2.
Awesome display.
Software is feeling a bit laggy.
Also, feels a little small.",18-24,M," Jamshedpur, Jharkhand",Freelancer,January,2024,Q1
It's Okay Good product I have Choose!!,18-24,M," Prakasam, Andhra Pradesh ",Working Professional,March,2024,Q1
"Simple stunning, no nonsense design and excellent deal.",25-34,M,"  Pune, Maharashtra",Working Professional,July,2023,Q3
The watch is just amazing and looks and feels great on the hand. But i have issues with the battery backup. People say they get over 24h backup but i hardly get 24h (with only AOD on).,45-54,F," Hosur, Tamil Nadu",Homemaker,May,2021,Q2
Nice producr,55 and above,M," Firozpur, Punjab",Retired,April,2022,Q2
Amazing product by Google,35-44,M," Kalyan, Maharashtra",Working Professional,May,2021,Q2
"The accuracy of the sensors features in the Google Watch 2 is impressive.
It boasts a premium appearance and is lightweight, providing a comfortable experience when worn.",35-44,M," Kalyan, Maharashtra",Working Professional,February,2021,Q1
"Best product from pixel , lasts for one day including night , display is really good , software is well optimized and smooth , good for fitness tracking.",18-24,F," Wayanad District, Kerala",Working Professional,October,2022,Q4
"Absolutely gorgeous watch with amazingly premium feel. It just looks so good on your wrist.

The trackers are very accurate as should be in a premium smartwatch.

Absolutely satisfied.",18-24,M," Jabalpur, Madhya Pradesh",Freelancer,May,2024,Q2
Very good product osme,25-34,M," Karnal, Haryana",Working Professional,September,2024,Q3
Everything is good the only concern low backup,25-34,M," Garhwa, Jharkhand",Freelancer,July,2023,Q3
Excellent product and performance as Brand,Under 18,F," Ahmedabad, Gujarat",Student,June,2020,Q2
Nice,55 and above,M," Mumbai, Maharashtra",Retired,July,2024,Q3
"The watch keeps on restarting again and again on it's own and consumes extra bettery while doing so.
Really disappointed with the iss",55 and above,F," Bengaluru, Karnataka",Homemaker,April,2024,Q2
Very bad battery back up,25-34,M," Gurugram, Haryana",Freelancer,November,2023,Q4
Charger stopped working in a week,35-44,F," Bengaluru, Karnataka",Homemaker,January,2023,Q1
I was pleasantly disappointed with this watch. It is functionally bad and needs a lot of work from google. I find my Fitbit sense to be a much better device. It cant track if I take a nap in the afternoon. Instead of 2 apps google should integrate everything in the Fitbit app which is much better. The watch faces are also very kiddish. I also doubt about the long term reliability of this watch. Google please work on it.,18-24,M," Kolkata, West Bengal",Freelancer,November,2020,Q4
excellent product from google. love it,25-34,F," Sainthia, West Bengal",Homemaker,March,2024,Q1
Fantastic,35-44,M," Tiruvannamalai District, Tamil Nadu",Working Professional,June,2024,Q2
Nothing to say just awesome product,25-34,M," Ranchi, Jharkhand",Freelancer,February,2024,Q1
The charge in the phone doesn't stay it's very bad hardly 6 hrs it stays,45-54,F," Bengaluru, Karnataka",Homemaker,February,2020,Q1
The product is the best in its class and provides accurate fitness tracking capabilities. Really really nest watch. Watch 2,45-54,M," Baraut, Uttar Pradesh",Freelancer,July,2024,Q3
"Very good for heartrate and sleep tracking. Lots of bugs in the app and step counting, but overall value for money, as I bought in discount.

Waiting to hear if these bugs and issues are resolved in future SW updates.",Under 18,M," Bengaluru, Karnataka",Student,March,2021,Q1
"Review after day 1.....Very poor battery life, no e sim option only wifi and bt connected...waste of money ...I requested for return but they refused (flipkart)",35-44,M, Delhi,Freelancer,July,2020,Q3
All about,25-34,M," Hyderabad, Telangana",Working Professional,April,2020,Q2
Nice watch and look is awesome.,55 and above,M," Nadia, West Bengal ",Retired,March,2023,Q1
I wish it used sapphire glass nd also had repair support otherwise the product is great in terms of usage looks nd functionality.,25-34,M," Kalaburagi, Karnataka ",Working Professional,October,2024,Q4
This is best smart watch for android users. design is far better than galaxy watches,55 and above,M," Sangole, Maharashtra",Retired,December,2021,Q4
One of the best android smartwatches ever ! Must buy !,35-44,F," Noida, Uttar Pradesh",Homemaker,August,2021,Q3
Excellent watch. Looks are very good and UI is very smooth. Feature packed watch for android users,18-24,M," Singarayakonda, Andhra Pradesh",Working Professional,July,2022,Q3
"Another amazing product by google! Love all the features, and the UI is very smooth as expected. The pixel experience is perfect :)",35-44,M," Greater Noida, Uttar Pradesh",Working Professional,May,2022,Q2
The product quality is awesome. Nice features. Looks wise very stylish. Genuine product.,45-54,M," Khardaha, West Bengal",Freelancer,May,2022,Q2
Best watch,35-44,M," Bengaluru, Karnataka ",Freelancer,September,2020,Q3
It's a Beauty.. !,18-24,F," Chennai, Tamil Nadu",Working Professional,March,2023,Q1
There is a lag of significant amount of time while logging in to the watch.,25-34,M," Bengaluru, Karnataka",Freelancer,December,2020,Q4
"It's a watch with sensors, and they do work.",35-44,M," Bengaluru, Karnataka",Working Professional,December,2024,Q4
The best...,55 and above,M," Bhubaneswar, Odisha",Retired,April,2022,Q2
The watch is very Cute in looking. Till now not explore it fully in feature wise so i cannot write detailed review.,55 and above,M," Lehragaga, Punjab",Retired,October,2024,Q4
"Battery wasn't good enough at this price they have to focus on that and there is no payment options in India lte also not supported in India Flipkart cheated in this aspect and service also not good I complained so many times regarding this issue but till now problem wasn't resolved, I didn't expect this from Flipkart, Google service also unbearable not st all supportive",Under 18,F," Kakinada, Andhra Pradesh",Student,January,2023,Q1
"Amazing !! Simply amazing !!

Google has done a fantastic job with watch 3 !!

Will edit this review after spending a week.",55 and above,M,"Bengaluru, Karnataka",Retired,November,2022,Q4
"The best pixel watch made by Google, works best even without pixel phones. But it's handy to have a whole pixel eco system.

1. Have Clear speaker and mic quality for phone calls via watch.
2. Great and bright display.
3. Works as a fitness tracker and gives you real time tracking of your heart beat, etc.
4. Makes day to day life easier.

In short a great watch to have it you are into smartwatches.",45-54,M,"New Delhi, Delhi",Working Professional,March,2021,Q1
Excellent purchase,35-44,M,"New Delhi, Delhi",Freelancer,June,2023,Q2
"Pixel ecosystem is the best android ecosystem which will give you premium android experience as compared to Samsung, OnePlus ecosystems.
This watch is the MOST advanced watch till date, you will find it on top of every gadget review. Integrates perfectly with pixel phone and buds.
You can download music for offline playback, Google maps working perfectly with offline map support, you can control pixel mobile cameras with this watch (perfect for astrophotography), plenty of watch faces to choo...
READ MORE",45-54,M," Pune, Maharashtra",Working Professional,September,2021,Q3
Perfect,25-34,F,"Patna, Bihar",Homemaker,December,2023,Q4
Top Notch!!!!!! ❤️,35-44,F,"Lucknow, Uttar Pradesh",Working Professional,January,2023,Q1
"Costly, but totally worth it. The AMOLED display looks supreme and the watch features are really useful. Must buy if you are into fitness and tracking",45-54,F,"Mumbai, Maharashtra",Homemaker,June,2021,Q2
This is the best watch from Google and is miles better than the watch 1 and 2,Under 18,M,"Kolkata, West Bengal",Student,June,2023,Q2
Great watch,18-24,M,"Batala, Punjab",Freelancer,August,2020,Q3
