Reviews for Fireboltt,Age,Gender,Location,        Occupation,Month,Year,Quarter
"I am using it from a day. It's really good looking, nice flexible straps, spo2 BPM and walking are very accurate. BP doesn't seem so. Rest features are awesome n superbly working. Calling feature, speaker, music all are very good. Value for money choice..",25-34,M," Tumkur, Karnataka",Working Professional,November,2024,Q4
"Nice watch' good deal thnx Flipkart
I need one more at this price over all experience is good battery 🔋 is very good looking premium",55 and above,M," Mumbai, Maharashtra",Retired,May,2023,Q2
"Very nice, I have bought for child, he so mush like",25-34,F," Kanpur, Uttar Pradesh",Homemaker,December,2024,Q4
Superb i m impressed,25-34,F," Chennai, Tamil Nadu",Homemaker,April,2021,Q2
Loved it,35-44,M," New Town, West Bengal",Freelancer,January,2020,Q1
It was really awesome product. Features are too good. In that price best watch i can recommend. Calling feature was excellent. Loud and clear speaker. Mic clarity was good. Battery backup was 3 days While connecting Bluetooth continuously. I was closely observed on battery backup. It takes 1hr approximately to full battery.,45-54,M," Visakhapatnam, Andhra Pradesh",Working Professional,April,2023,Q2
Value for money,Under 18,M," Uttar Bastar Kanke, Jharkhand",Student,March,2021,Q1
"Superb .... .. Display is very good....
Sound speaker is clear and 🔊 loud",Under 18,M," Homnabad, Karnataka",Student,November,2023,Q4
This is a very awesome product using it from 2 months and no problems yet i wanna thanks fire bolt for these types of products they are really amazing keep it up,Under 18,F," Sant Ravidas Nagar, Uttar Pradesh",Student,July,2021,Q3
Only one word Excellent 😍😘👍🏻🙏🏻🤩💓,18-24,F," Omalur, Tamil Nadu",Working Professional,December,2022,Q4
Best ??,35-44,F," Mumbai, Maharashtra",Homemaker,April,2024,Q2
"Smart watch is very smart, good",45-54,M," Mandsaur, Madhya Pradesh",Working Professional,August,2022,Q3
Wow good product 👍,25-34,M," Bengaluru, Karnataka",Freelancer,October,2024,Q4
Very good quality and nice colour. Battery capacity is so high.i loved it 😍 thank u,Under 18,M," Gurugram, Haryana",Student,June,2023,Q2
Awesome watch at affordable price 🥰🥰 just go for it guys👍👍 And the Bluetooth calling system is the icing on the cake at such an affordable price ❤️,55 and above,F," Visakhapatnam, Andhra Pradesh",Homemaker,October,2024,Q4
It's really amazing watch,Under 18,F," Varanasi, Uttar Pradesh",Student,June,2023,Q2
Good product,35-44,M," Sirsa, Haryana",Working Professional,October,2022,Q4
Very nice watch.. Thankyou Flipkart,35-44,F," Sarigam, Gujarat",Homemaker,May,2020,Q2
Really nice!!,35-44,F," Hugli Chinsurah, West Bengal",Homemaker,January,2020,Q1
I liked this watch very much it has good looks and good design and I'm impressed with it very good Bluetooth calling feature I liked it very much and it has sports modes and it calculates the spo2 BPM bit accurate and has good display and has accurate notifications overall it is a good and great watch and worth in this price range.,35-44,M," Bhadrari Kothagudem, Telangana ",Homemaker,February,2020,Q1
"Great product with awesome features...!!!
Received product yesterday. Thanks Flipkart for fast delivery.
I think this is the first review of this product.
Product is very good in all aspects. Good in looks, design, display and performance. Packing is also attractive and product is value for money.",55 and above,M," Aurangabad, Maharashtra",Retired,May,2024,Q2
Just awesome..👌,55 and above,M," Jaipur, Rajasthan",Retired,July,2024,Q3
Nice watch 👍 features are nice but calculator is not available 😑...but overall nice,18-24,F," Junagadh, Gujarat",Working Professional,July,2022,Q3
Great Product.....@ Amazing price recommend,55 and above,M," New Delhi, Delhi",Retired,March,2023,Q1
"This is the best budget smart watch with Bluetooth calling..
Calling , speaker sound, connectivity all are money worthy..",55 and above,F," Kolkata, West Bengal",Homemaker,September,2021,Q3
Best product in low price,Under 18,F," Cuttack, Odisha",Student,January,2023,Q1
"Good watch in this price range. But better if recorder, voice assistant features is in this watch. When bluetooth is connected with the mobile and watch then you play any video or audio in your mobile it's sound come with the mobile it is not good feature. Other than this Smartwatch is good.",55 and above,M," Bally, West Bengal",Retired,December,2022,Q4
Best Feature available in this Watch Its Perfect under 3499 in this Price .... Amazing Watch ⌚ Value For money 🤑,Under 18,M," Jamalpur, Haryana",Student,August,2024,Q3
"It is very nice watch looking good 👍
And speaker 🔊 sound nice
I am happy 😊",45-54,F," Mau District, Uttar Pradesh",Homemaker,July,2023,Q3
"Fire Boltt Talk is a superb watch. I m amazed to see a lot of good features at such an affordable price especially the calling feature. Its very easy, all u need to do is connect it to the app and then do manual pairing in phone s bluetooth settings.",35-44,F," Mumbai, Maharashtra",Homemaker,August,2021,Q3
"Watch is very Good And the sound quality is Excellent in this chipset price range. But like some few time when calling sound is cracking.. like that any issue i am complain but otherwise it's is very Good product
Thanks to Flipkart 🥰🥰😊😊😇😇🤗🤗🤗",Under 18,M," Balangir, Odisha",Student,November,2020,Q4
Wow 👏 👌 😍 👍.....lovely watch as i gifted to me n my bf b he loved it as he choose n i ordered for both of us n we bith loved it ......thanks for a very goood price n thanks flipcart n delivery man,Under 18,F," Dehradun, Uttarakhand",Student,July,2023,Q3
Is very good very nice superb,55 and above,M," Chickballapur, Karnataka",Retired,March,2023,Q1
"Good features at this price, good at display and bluetooth calling feature. Speaker can be better and upgradable, battery discharge soon if you use bluetooth calling for morethan 3 hrs size of battery should be increased to match up the usage upto 5hrs atleast.",Under 18,M," Tirupati,Andhra Pradesh",Student,December,2023,Q4
Nice watch,45-54,F," Sidcul Haridwar, Uttarakhand",Homemaker,November,2023,Q4
"Gifted this amazing watch to my brother. The watch looks very classy. its amazing call feature sets it apart from other smart watches. Its easy to connect. All u need to do is connect with the app, and manually pair the watch is phone's bluetooth setting",18-24,M," Navi Mumbai, Maharashtra",Working Professional,April,2024,Q2
"Best quality and super features ...
Realy nyc product for every one..
Health is wealth.... Super smart watch",25-34,M," Ballia, Uttar Pradesh ",Working Professional,April,2021,Q2
