Reviews for Noise,Age,Gender,Location,        Occupation,Month,Year,Quarter
"I'm in love with thi product thnks filpkart for thi worth
❤️😊",25-34,F," Agra, Uttar Pradesh",Homemaker,September,2023,Q3
Loved 😍,45-54,F," Kolkata, West Bengal",Homemaker,September,2021,Q3
VERY NICE 👍 WATCH I'M IMPRESSED 😊 GOOD SERVICE FLIPKART THANK YOU ❤️,55 and above,M," Mokameh, Bihar",Retired,June,2022,Q2
"Superb Watch Under This price Range.......
Value for Money..... having nice or bright Display in outdoors..... Like this Product",45-54,M," Sultanpur, Uttar Pradesh",Working Professional,July,2024,Q3
Nice 👍,Under 18,M," Kolkata, West Bengal",Student,October,2022,Q4
"Watch is very nice and display size is Lar, Uttar Pradeshge 1.8 👍",35-44,M," Balrampur, Uttar Pradesh",Working Professional,March,2023,Q1
Wow Nyc product Noise One of the best product battery backup Superb and looks Amazing Wonderful 👍 Flipkart,35-44,M," New Delhi, Delhi",Freelancer,March,2020,Q1
Good looking,18-24,M," Nadia, West Bengal ",Freelancer,January,2022,Q1
"Nice quality better back-up is good 4 days in my use bulit of belt good quality, Value for money",Under 18,M," Mumbai, Maharashtra",Student,February,2023,Q1
Nice product.... Love it ❤,25-34,F," Golaghat, Assam",Working Professional,March,2021,Q1
Super 👌😚 Good 👌😊,55 and above,M," Hyderabad, Telangana",Retired,May,2020,Q2
"Nice n Stylish..
Display --9
Battery -- 8
UI-- 9
Connectivity -- 9
Overall Very Good smart watch.
I must Say This is value for money product.",18-24,M," Krishnagar, West Bengal",Working Professional,March,2023,Q1
Its Nice one,45-54,F," Bagalkot, Karnataka",Homemaker,November,2024,Q4
Amazing product I am so happy guys go for it,45-54,F," Jajapur, Odisha ",Homemaker,April,2021,Q2
"➊-This is only watch in this price segment with highest brightness & longer display also.

➋-Music feature is working so great.

➌-One feature which is very helpful in this season is that WEATHER FEATURE.

➍-60 sports mode is also given in this watch which is also very useful.

➎-Display is TOO great, i loved it very much ❣️.

➏-Only thing in this is negative point - the battery backup 🙁 which only run 36-48 hours with Bluetooth calling.

➐-I also want to add an other point which is its watc...
READ MORE",18-24,M," Varanasi, Uttar Pradesh",Freelancer,December,2022,Q4
Its looks cool but I want more watch faces overall this is value for 💰,25-34,M," Barauni Ioc Township, Bihar",Homemaker,March,2021,Q1
Nice one and good one.... Worth it it's looks nice compare to others,18-24,M," Adoni, Andhra Pradesh",Working Professional,October,2021,Q4
"Pros: 1.features are awesome.
2.game is smooth and is interesting
3. I checked calling function and is clear and loud same as that of speaker of mobiles.
4.connectivity is fast.
5. I got every notification fastly. I wondered
How some notification came on watch before it displayed on mobile 😀😲
6.there are no laggy experience.
7.UI is pretty attractive.
8. Overall I like it.
Cons:
...
READ MORE",Under 18,M," Paippad, Kerala",Student,August,2020,Q3
Amazing👍😍🤩 I love it....,25-34,F," Bhubaneswar, Odisha",Homemaker,October,2024,Q4
Amazing product,18-24,F," Hojai, Assam",Working Professional,March,2022,Q1
Nice product 👍😊👍😊,18-24,F," Minakhan, West Bengal",Working Professional,July,2020,Q3
The smartwatch is awesome 👍 it's a highly recommended product if you are searching for an affordable price in these overall it is very stish and modern,55 and above,F," Debipur, West Bengal",Homemaker,February,2024,Q1
Awesome...,25-34,M," Tuni, Andhra Pradesh",Working Professional,April,2021,Q2
Nice look watch wonderful colour working future excellent watch product 📦📦👌👌👍,55 and above,F," New Delhi, Delhi",Homemaker,November,2023,Q4
Nice watch i think you also try,18-24,F," Bhatapara, Chhattisgarh",Working Professional,February,2023,Q1
Nice watch samuth display calls voice average,35-44,M," Ambala, Haryana",Freelancer,May,2023,Q2
Bast Smart Watch best qualities,35-44,M," Mangaluru, Karnataka",Freelancer,May,2022,Q2
Nice watch this price range 😊,45-54,M," Sumerpur, Rajasthan",Freelancer,February,2021,Q1
"Good Battery Life, and Worth of Cost",Under 18,M," Kakinada, Andhra Pradesh",Student,April,2022,Q2
Nice watch but sometimes the watch delay in wakeup while raising the hand... Voice calling good and so 🔊 loudly.. ok watch.,18-24,M," Hoshiarpur, Punjab",Freelancer,August,2020,Q3
Awesome quality 💕,55 and above,M," Mandi Dabwali, Haryana",Retired,February,2021,Q1
Good watch Value For money,45-54,M," Solapur, Maharashtra",Working Professional,October,2021,Q4
"Best calling smartwatch 🤟 ✅
Good Looking good watch I am very satisfied with this product ✨
Just go for it & But it , You will not regret 👍🏽",55 and above,M," Baruipur, West Bengal",Retired,January,2024,Q1
Awesome product,Under 18,M," Samastipur, Bihar ",Student,July,2024,Q3
Wow thank you flipkart😍,35-44,F," Puri, Odisha",Homemaker,April,2024,Q2
Perfect Design & The Best Quality Product,55 and above,M," Bankura, West Bengal",Retired,August,2021,Q3
Nice i like it,18-24,F," Dehradun, Uttarakhand",Working Professional,May,2023,Q2
Surperb 👌👌,45-54,F," Kolkata, West Bengal",Homemaker,July,2021,Q3
Really love this product but price wise it's too much costly but I liked it obviously go for it thankqq soo much Flipkart ❤️,35-44,F," Barabanki, Uttar Pradesh",Homemaker,February,2023,Q1
"Best product Best price 👌 👍 👏 💯 🙌
With Calling",35-44,M," Samastipur, Bihar",Freelancer,May,2024,Q2
Nice good product in this price...,25-34,M," Raigarh, Chhattisgarh",Working Professional,June,2024,Q2
Nice product,35-44,M," Agra, Uttar Pradesh",Freelancer,July,2020,Q3
"Nice watch,",55 and above,M," Visakhapatnam, Andhra Pradesh",Retired,February,2020,Q1
Awsome 💕,45-54,F," Nadia, West Bengal ",Homemaker,December,2024,Q4
Super watch,35-44,F," Beawar, Rajasthan",Homemaker,June,2023,Q2
Nice watch ⌚ ...... Thanku Noise ❤️ & also thank you Flipkart ❤️,55 and above,M," Durgapur, West Bengal",Retired,October,2021,Q4
Nice quality ☺️,35-44,M," Kanke, Jharkhand",Working Professional,August,2022,Q3
"Amazing shopping i have been using this watch for last 2 months and it working in a very good condition .
Go for it blindly",55 and above,F," Navi Mumbai, Maharashtra",Homemaker,May,2024,Q2
"Good product quality is very nice,,",35-44,M," Kahalgaon, Bihar",Freelancer,February,2021,Q1
It's very good,25-34,F," Patna, Bihar",Homemaker,June,2020,Q2
Superb watch,Under 18,M," Ahmedabad, Gujarat",Student,October,2022,Q4
Very Noice Smart Watch (Must Buy),55 and above,M," Murshidabad, West Bengal ",Retired,October,2020,Q4
"Just a Amazing Watch by Noise. Previously I was using Noise Color fit pro 2 and was unsatisfied with That.But this Icon 2 is A masterpieces believe Me guys.

Going to give a details review after a week.",55 and above,M," Karari Chandpur, West Bengal",Retired,October,2021,Q4
Item is good but no satisfy,55 and above,M," Ghaziabad, Uttar Pradesh",Retired,September,2023,Q3
Its a good watch in recent time i am using from last 40 days u can take it with out a dought,45-54,M," Visakhapatnam, Andhra Pradesh",Working Professional,June,2020,Q2
"Superb smartwatch
Inbuilt games
And metalic build quality
All sensors are work properly and accurate
Value for money
Feature packed watch",25-34,M," Maihar, Madhya Pradesh",Working Professional,May,2024,Q2
After 10 months suddenly my noise colorfit Icon 2 watch shut down and not start again.,18-24,F," Jaipur, Rajasthan",Working Professional,September,2020,Q3
This price nice watch...,35-44,M," Buldana, Maharashtra ",Freelancer,July,2020,Q3
