Reviews for Redmi Watch,Age,Gender,Location,        Occupation,Month,Year,Quarter
Watch is big in size but looks professional. Brightness of screen is ok outside. Data analysis of this watch is good along with its app...,35-44,F," Bhubaneswar, Odisha",Homemaker,December,2022,Q4
"Best smartwatch in this budget with calling and other basic featuers. Good battery backup of more than 10 days.
Display size is big so if you have skinny foream then dont do for it. Active 3 will best choice for that but if you have wide forearm then go for it.",45-54,M," Ghaziabad, Uttar Pradesh",Freelancer,May,2022,Q2
The size is too big and it can be slim too. If the wrist is big go for it else search for the other brand and model.,35-44,M," Madurai, Tamil Nadu",Freelancer,January,2020,Q1
"Everything is perfect.
Best of budget smartwatch. 😍",18-24,F," Burdwan, West Bengal",Working Professional,April,2022,Q2
"Battery back up is superb
Connectivity is also fine.
Over all smart watch device is great and the price is reasonable.",35-44,M," Gandhinagar, Gujarat ",Working Professional,September,2020,Q3
Very good product.,25-34,M," Santipur, West Bengal",Freelancer,May,2021,Q2
Nice,35-44,F," Purba Medinipur, West Bengal ",Homemaker,May,2021,Q2
"Great Value.
Very good product and tracks everything perfectly. Writing this feedback after using a week. Mobile app is also simple and user friendly. One negative point is sometimes the watch will stop showing notifications ever after it is connected. You have to reboot the watch, and then it works again.",55 and above,F," Hyderabad, Telangana",Homemaker,October,2021,Q4
Nice product,25-34,M," Tiruppur, Tamil Nadu",Freelancer,January,2024,Q1
Good product,18-24,F," Godda District, Jharkhand",Working Professional,March,2023,Q1
Everytime you have to increase the volume,45-54,M," Coimbatore, Tamil Nadu",Freelancer,March,2023,Q1
"Nice product in this price super quantity nice feature in this watch I like so much this watch
Battery is very good if we charge 100% we get easily 15to20 days",35-44,F," Medak, Telangana",Homemaker,January,2021,Q1
Battery drains every minute. It took only few minutes to drain by 10%,45-54,M," Shahdol, Madhya Pradesh",Working Professional,February,2020,Q1
It's really amazing watch..,25-34,M," Gopalpur, Odisha",Working Professional,October,2024,Q4
Very good performance Mediocre product,18-24,M," Tiruppur, Tamil Nadu",Freelancer,October,2022,Q4
This watch software and hardware are very good,55 and above,M," Prayagraj, Uttar Pradesh",Retired,April,2021,Q2
This watch is best used for charging...,35-44,M," Faridabad, Haryana",Freelancer,April,2023,Q2
Awesome product... But battery health is to poor .... There has mentioned... battery will stay up to 12 days .... Now I checked it's just take 24 hours,45-54,M," Mumbai, Maharashtra",Working Professional,April,2021,Q2
Overall good... great battery life...you can definitely go for it...the only negative feedback is for strap design..,35-44,F," Palakkad, Kerala",Freelancer,June,2024,Q2
Nice 👍🙂,35-44,M," Sri Ganganagar, Rajasthan",Freelancer,August,2024,Q3
Very nice 👍,18-24,M," Rohtak, Haryana",Working Professional,November,2023,Q4
Very best product 😃,45-54,M," Sanwer District, Madhya Pradesh",Working Professional,October,2021,Q4
